,vulnerable,infected,symptomatic,positive,recovered,deceased
257,0.496405,2e-05,2.75e-05,3.5e-05,0.49437625,0.00913625
249,0.49640125,2.125e-05,2.5e-05,3.625e-05,0.49438,0.00913625
252,0.49639625,2.25e-05,2.375e-05,3.5e-05,0.49438625,0.00913625
251,0.49639375,2.125e-05,2.375e-05,3.625e-05,0.49438875,0.00913625
258,0.49639,2.5e-05,2.25e-05,3.625e-05,0.49439,0.00913625
256,0.49638375,2.375e-05,2.625e-05,3e-05,0.4944,0.00913625
260,0.49638,2.75e-05,2.5e-05,2.625e-05,0.494405,0.00913625
250,0.49637625,2.375e-05,2.75e-05,2.25e-05,0.49441375,0.00913625
253,0.49637625,2e-05,2.375e-05,2.125e-05,0.4944225,0.00913625
259,0.49637375,2e-05,2.375e-05,2e-05,0.49442625,0.00913625
261,0.49637,2.25e-05,2.25e-05,2.125e-05,0.4944275,0.00913625
262,0.49636375,2.375e-05,2e-05,2.125e-05,0.494435,0.00913625
255,0.4963625,2.375e-05,1.875e-05,2.25e-05,0.49443625,0.00913625
247,0.49636,2.125e-05,1.75e-05,2.5e-05,0.49444,0.00913625
274,0.49636,2e-05,1.75e-05,2.125e-05,0.494445,0.00913625
271,0.4963575,1.875e-05,2.125e-05,2e-05,0.49444625,0.00913625
273,0.49635625,1.625e-05,2.25e-05,2.125e-05,0.4944475,0.00913625
265,0.49635125,1.625e-05,2.25e-05,2.375e-05,0.49445,0.00913625
270,0.49634875,1.25e-05,2.625e-05,2.25e-05,0.49445375,0.00913625
264,0.49634875,8.75e-06,2.625e-05,2.375e-05,0.49445625,0.00913625
276,0.49634625,8.75e-06,2.5e-05,2.125e-05,0.4944625,0.00913625
277,0.4963425,1.25e-05,2.375e-05,2e-05,0.494465,0.00913625
267,0.4963375,1.375e-05,2e-05,2.125e-05,0.49447125,0.00913625
275,0.49633625,1.25e-05,2.125e-05,1.75e-05,0.49447625,0.00913625
272,0.49633625,1.125e-05,2e-05,1.75e-05,0.49447875,0.00913625
269,0.49633375,1.375e-05,1.875e-05,1.625e-05,0.49448125,0.00913625
268,0.4963325,1.5e-05,1.625e-05,1.75e-05,0.4944825,0.00913625
278,0.49633125,1.5e-05,1.625e-05,1.75e-05,0.49448375,0.00913625
266,0.49632875,1.25e-05,2e-05,1.625e-05,0.494485,0.0091375
290,0.4963275,6.25e-06,2.375e-05,1.625e-05,0.49448875,0.0091375
286,0.496325,7.5e-06,2.5e-05,1.375e-05,0.49449125,0.0091375
